registry_version,policy_version,season_type,canonical_gender_code,canonical_event_code,canonical_event_name,performance_count,athlete_count,school_count,record_mark_raw,record_mark_normalized,anchor_status,performance_context,pending_ratification,outside_regular_collegiate_season,tfn_eligibility_verified,holder,school,record_date_text,mark_flags,source_key,source_url,source_as_of,source_line,source_html_sha256,parser_method,selection_direction,selection_policy,superseded_regular_season_mark,superseded_regular_season_holder
collegiate_eligibility_anchors_v1_1,tfn_regular_plus_explicit_verified_postseason_pending_active_v1,outdoor,f,HEP,Heptathlon,11804,3349,324,6755,6755.0,verified_outside_season_active_anchor,outside_regular_season_tfn_eligibility_verified,False,True,True,Anna Hall,Florida,7/17-18/22,,women_absolute,https://trackandfieldnews.com/records/womens-collegiate-records/,"May 16, 2026","Heptathlon 6755 Anna Hall (Florida) Eugene, Oregon 7/17-18/22",21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,table,higher_is_better,best T&FN-listed collegiate-eligible mark; explicit verified outside-season and pending marks allowed,6527,Diane Guthrie-Gresham
collegiate_eligibility_anchors_v1_1,tfn_regular_plus_explicit_verified_postseason_pending_active_v1,outdoor,f,HJ,High Jump,60786,7207,344,2.03,2.03,verified_outside_season_active_anchor,outside_regular_season_tfn_eligibility_verified,False,True,True,Brigetta Barrett,Arizona,8/11/12,,women_absolute,https://trackandfieldnews.com/records/womens-collegiate-records/,"May 16, 2026","High Jump 2.03 | 6-8 Brigetta Barrett (Arizona) London, England 8/11/12",21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,table,higher_is_better,best T&FN-listed collegiate-eligible mark; explicit verified outside-season and pending marks allowed,2.00,Lamara Distin
collegiate_eligibility_anchors_v1_1,tfn_regular_plus_explicit_verified_postseason_pending_active_v1,outdoor,m,1500M,1500m,113309,24416,337,3:31.04,211.04,verified_outside_season_active_anchor,outside_regular_season_tfn_eligibility_verified,False,True,True,Cole Hocker,Oregon,8/07/21,,men_absolute,https://trackandfieldnews.com/records/mens-collegiate-records/,"June 16, 2026","1500 3:31.04 Cole Hocker (Oregon) Tokyo, Japan 8/07/21",621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,lower_is_better,best T&FN-listed collegiate-eligible mark; explicit verified outside-season and pending marks allowed,3:31.69,Simeon Birnbaum
collegiate_eligibility_anchors_v1_1,tfn_regular_plus_explicit_verified_postseason_pending_active_v1,outdoor,m,800M,800m,95167,17095,337,1:41.77,101.77000000000001,verified_outside_season_active_anchor,outside_regular_season_tfn_eligibility_verified,False,True,True,Joaquim Cruz’,Oregon,8/26/84,,men_absolute,https://trackandfieldnews.com/records/mens-collegiate-records/,"June 16, 2026","800 1:41.77 Joaquim Cruz’ (Oregon) Cologne, Germany 8/26/84",621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,lower_is_better,best T&FN-listed collegiate-eligible mark; explicit verified outside-season and pending marks allowed,1:43.25,Michael Saruni
collegiate_eligibility_anchors_v1_1,tfn_regular_plus_explicit_verified_postseason_pending_active_v1,outdoor,m,HT,Hammer Throw,54625,4789,282,82.56,82.56,verified_outside_season_active_anchor,outside_regular_season_tfn_eligibility_verified,False,True,True,Balázs Kiss’,USC,8/23/95,,men_absolute,https://trackandfieldnews.com/records/mens-collegiate-records/,"June 16, 2026","Hammer 82.56 | 270-10 Balázs Kiss’ (USC) Veszprém, Hungary 8/23/95",621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,table,higher_is_better,best T&FN-listed collegiate-eligible mark; explicit verified outside-season and pending marks allowed,81.94,Balázs Kiss
