season_type,canonical_gender_code,canonical_event_code,canonical_event_name,performance_count,candidate_count,regular_candidate_count,outside_candidate_count,ratified_candidate_count,pending_candidate_count,active_anchor_mark,active_anchor_status
outdoor,m,110H,110m Hurdles,66133,2,2,0,1,1,12.75,pending_active_anchor
outdoor,m,1500M,1500m,113309,3,3,0,2,1,3:31.04,ratified_active_anchor
outdoor,m,200M,200m,85641,2,2,0,1,1,19.63,pending_active_anchor
outdoor,m,3000M,3000m,13747,1,1,0,1,0,7:30.15,ratified_active_anchor
outdoor,m,3000SC,3000m Steeplechase,30665,2,2,0,1,1,8:05.4,ratified_active_anchor
outdoor,m,400H,400m Hurdles,52108,1,1,0,1,0,47.02,ratified_active_anchor
outdoor,m,400M,400m,84640,3,3,0,2,1,43.38,pending_active_anchor
outdoor,m,5000M,5000m,63580,1,1,0,1,0,12:57.14,ratified_active_anchor
outdoor,m,800M,800m,95167,2,2,0,2,0,1:41.77,ratified_active_anchor
outdoor,m,DEC,Decathlon,9141,1,1,0,1,0,8961,ratified_active_anchor
outdoor,m,DT,Discus Throw,74470,2,2,0,2,0,75.56,ratified_active_anchor
outdoor,m,HJ,High Jump,44711,1,1,0,1,0,2.38,ratified_active_anchor
outdoor,m,HT,Hammer Throw,54625,3,3,0,3,0,82.56,ratified_active_anchor
outdoor,m,JT,Javelin Throw,50968,1,1,0,1,0,89.10,ratified_active_anchor
outdoor,m,LJ,Long Jump,63052,1,1,0,1,0,8.74,ratified_active_anchor
outdoor,m,MILE,Mile,3644,1,1,0,1,0,3:48.32,ratified_active_anchor
outdoor,m,PV,Pole Vault,44804,3,3,0,3,0,6.00,ratified_active_anchor
outdoor,m,SP,Shot Put,64427,1,1,0,1,0,22.00,ratified_active_anchor
outdoor,m,TJ,Triple Jump,32072,1,1,0,1,0,17.87,ratified_active_anchor
