season_type,canonical_gender_code,canonical_event_code,best_regular_mark,best_outside_mark,best_ratified_mark,best_pending_mark,selected_active_mark,selected_status
indoor,f,1000M,2:37.72,,2:37.72,,2:37.72,ratified_active_anchor
indoor,f,1500M,4:01.60,,4:01.60,,4:01.60,ratified_active_anchor
indoor,f,200M,22.01,,22.01,,22.01,ratified_active_anchor
indoor,f,3000M,8:31.39,,8:31.39,,8:31.39,ratified_active_anchor
indoor,f,300M,35.80,,35.80,,35.80,ratified_active_anchor
indoor,f,400M,49.24,,49.24,,49.24,ratified_active_anchor
indoor,f,5000M,14:44.79,,14:44.79,,14:44.79,ratified_active_anchor
indoor,f,500M,1:08.40,,1:08.40,,1:08.40,ratified_active_anchor
indoor,f,600M,1:24.19,,1:24.19,,1:24.19,ratified_active_anchor
indoor,f,60H,7.72,,7.72,,7.72,ratified_active_anchor
indoor,f,60M,6.94,,6.94,,6.94,ratified_active_anchor
indoor,f,800M,1:58.40,,1:58.40,,1:58.40,ratified_active_anchor
indoor,f,HJ,2.00,,2.00,,2.00,ratified_active_anchor
indoor,f,LJ,7.03,,7.03,,7.03,ratified_active_anchor
indoor,f,MILE,4:20.61,,4:20.61,,4:20.61,ratified_active_anchor
indoor,f,PENT,4746,,4746,,4746,ratified_active_anchor
indoor,f,PV,4.91,,4.91,,4.91,ratified_active_anchor
indoor,f,SP,19.75,,19.75,,19.75,ratified_active_anchor
indoor,f,TJ,15.12,,15.12,,15.12,ratified_active_anchor
indoor,f,WT,25.56,,25.56,,25.56,ratified_active_anchor
indoor,m,1000M,2:16.84,,2:16.84,,2:16.84,ratified_active_anchor
indoor,m,1500M,3:33.41,,3:33.41,,3:33.41,ratified_active_anchor
indoor,m,200M,19.95,,19.95,,19.95,ratified_active_anchor
indoor,m,3000M,7:30.15,,7:30.15,,7:30.15,ratified_active_anchor
indoor,m,300M,31.99,,31.99,,31.99,ratified_active_anchor
indoor,m,400M,44.49,,44.49,,44.49,ratified_active_anchor
indoor,m,5000M,12:57.14,,12:57.14,,12:57.14,ratified_active_anchor
indoor,m,500M,1:00.63,,1:00.63,,1:00.63,ratified_active_anchor
indoor,m,600M,1:14.67,,1:14.67,,1:14.67,ratified_active_anchor
indoor,m,60H,7.32,,7.32,,7.32,ratified_active_anchor
indoor,m,60M,6.45,,6.45,,6.45,ratified_active_anchor
indoor,m,800M,1:44.70,,1:44.70,,1:44.70,ratified_active_anchor
indoor,m,HEP,6639,,6639,,6639,ratified_active_anchor
indoor,m,HJ,2.37,,2.37,,2.37,ratified_active_anchor
indoor,m,LJ,8.59,,8.59,,8.59,ratified_active_anchor
indoor,m,MILE,3:48.32,,3:48.32,,3:48.32,ratified_active_anchor
indoor,m,PV,6.00,,6.00,,6.00,ratified_active_anchor
indoor,m,SP,21.85,,21.85,,21.85,ratified_active_anchor
indoor,m,TJ,17.54,,17.54,,17.54,ratified_active_anchor
indoor,m,WT,25.66,,25.66,,25.66,ratified_active_anchor
outdoor,f,10000M,30:46.80,,30:50.43,30:46.80,30:46.80,pending_active_anchor
outdoor,f,100H,12.36,,12.36,,12.36,ratified_active_anchor
outdoor,f,100M,10.63,,10.75,10.63,10.63,pending_active_anchor
outdoor,f,1500M,3:59.90,,3:59.90,,3:59.90,ratified_active_anchor
outdoor,f,200M,21.68,,21.77,21.68,21.68,pending_active_anchor
outdoor,f,3000M,8:35.20,,8:35.20,,8:35.20,ratified_active_anchor
