version,importer_version,source_key,season_type,canonical_gender_code,canonical_event_code,section,source_table_index,source_row_index,source_cells,source_line,raw_mark,normalized_mark,mark_flags,pending_ratification,indoor_mark_flag,altitude_flag,secondary_listing,outside_regular_collegiate_season,holder,school,record_date_text,source_as_of,source_url,local_html_sha256,parser_method,anchor_status,selection_policy,performance_count
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,800M,track,1,16,"800 || 1:58.40 || Athing Mu (Texas A&M) || Fayetteville, Arkansas || 2/27/21","800 1:58.40 Athing Mu (Texas A&M) Fayetteville, Arkansas 2/27/21",1:58.40,118.4,,False,False,False,False,False,Athing Mu,Texas A&M,2/27/21,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,90203
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,HJ,field,3,2,"High Jump || 2.00 | 6-6¾ || Lamara Distin’ (Texas A&M) || Fayetteville, Arkansas || 2/24/24","High Jump 2.00 | 6-6¾ Lamara Distin’ (Texas A&M) Fayetteville, Arkansas 2/24/24",2.00,2.0,,False,False,False,False,False,| 6-6¾ Lamara Distin’,Texas A&M,2/24/24,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,64797
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,LJ,field,3,5,"Long Jump || 7.03 | 23-¾(A) || Jasmine Moore (Florida) || Albuquerque, New Mexico || 3/10/23","Long Jump 7.03 | 23-¾(A) Jasmine Moore (Florida) Albuquerque, New Mexico 3/10/23",7.03,7.03,,False,False,False,False,False,| 23-¾,A,3/10/23,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,89040
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,MILE,track,1,20,"Mile || 4:20.61 || Riley Chamberlain (BYU) || Boston, Massachusetts || 2/14/26","Mile 4:20.61 Riley Chamberlain (BYU) Boston, Massachusetts 2/14/26",4:20.61,260.61,,False,False,False,False,False,Riley Chamberlain,BYU,2/14/26,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,88095
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,PENT,multi,4,2,"Pentathlon || 4746 || Tyra Gittens’ (Texas A&M) || Fayetteville, Arkansas || 3/11/21","Pentathlon 4746 Tyra Gittens’ (Texas A&M) Fayetteville, Arkansas 3/11/21",4746,4746.0,,False,False,False,False,False,Tyra Gittens’,Texas A&M,3/11/21,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,15217
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,PV,field,3,4,"Pole Vault || 4.91 | 16-1¼ || Amanda Moll (Washington) || Indianapolis, Indiana || 2/28/25","Pole Vault 4.91 | 16-1¼ Amanda Moll (Washington) Indianapolis, Indiana 2/28/25",4.91,4.91,,False,False,False,False,False,| 16-1¼ Amanda Moll,Washington,2/28/25,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,46971
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,SP,field,3,9,"Shot || 19.75 | 64-9¾ || Axelina Johansson’ (Nebraska) || Toruń, Poland || 3/20/26","Shot 19.75 | 64-9¾ Axelina Johansson’ (Nebraska) Toruń, Poland 3/20/26",19.75,19.75,,False,False,False,False,False,| 64-9¾ Axelina Johansson’,Nebraska,3/20/26,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,84968
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,TJ,field,3,7,"Triple Jump || 15.12 | 49-7¼(A) || Jasmine Moore (Florida) || Albuquerque, New Mexico || 3/11/23","Triple Jump 15.12 | 49-7¼(A) Jasmine Moore (Florida) Albuquerque, New Mexico 3/11/23",15.12,15.12,,False,False,False,False,False,| 49-7¼,A,3/11/23,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,43783
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,WT,field,3,11,"Weight || 25.56 | 83-10¼ || Brittany Riley (Southern Ilinois) || Fayetteville, Arkansas || 3/10/07","Weight 25.56 | 83-10¼ Brittany Riley (Southern Ilinois) Fayetteville, Arkansas 3/10/07",25.56,25.56,,False,False,False,False,False,| 83-10¼ Brittany Riley,Southern Ilinois,3/10/07,"May 09, 2026",https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,70388
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,1000M,track,1,15,"1000 || 2:16.84 || Tinoda Matsatsa (Georgetown) || University Park, Pennsylvania || 1/18/25","1000 2:16.84 Tinoda Matsatsa (Georgetown) University Park, Pennsylvania 1/18/25",2:16.84,136.84,,False,False,False,False,False,Tinoda Matsatsa,Georgetown,1/18/25,"May 11, 2026",https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,table,ratified_active_candidate,first ratified non-secondary regular-season record listing,27467
