version,importer_version,source_key,season_type,canonical_gender_code,source_url,local_html_path,sha256,size_bytes,source_as_of,imported_utc,table_count,candidate_count
collegiate_records_v1,local_tfn_importer_v2,men_absolute,outdoor,m,https://trackandfieldnews.com/records/mens-collegiate-records/,/Users/joeyn256/Projects/NCAA Track Analytics Pipeline/data/reference/collegiate_records/source_html/mens_collegiate_records.html,621ab15132fe314528973c412a4e32bbbee1c6a3979d611e49d37dd9d6831338,88890,"June 16, 2026",2026-07-19T17:16:15+00:00,6,156
collegiate_records_v1,local_tfn_importer_v2,women_absolute,outdoor,f,https://trackandfieldnews.com/records/womens-collegiate-records/,/Users/joeyn256/Projects/NCAA Track Analytics Pipeline/data/reference/collegiate_records/source_html/womens_collegiate_records.html,21627bd3e03da00d2080e044a509b19b061a6d2e72efef7618c22976f9684e5b,88574,"May 16, 2026",2026-07-19T17:16:15+00:00,5,181
collegiate_records_v1,local_tfn_importer_v2,men_indoor,indoor,m,https://trackandfieldnews.com/records/mens-indoor-collegiate-records/,/Users/joeyn256/Projects/NCAA Track Analytics Pipeline/data/reference/collegiate_records/source_html/mens_indoor_collegiate_records.html,3e3998802a25f8d50d76dd3c96aaf5d00d18d723ae9b2f6c09e46914a6930cf7,84374,"May 11, 2026",2026-07-19T17:16:15+00:00,4,118
collegiate_records_v1,local_tfn_importer_v2,women_indoor,indoor,f,https://trackandfieldnews.com/records/womens-indoor-collegiate-records/,/Users/joeyn256/Projects/NCAA Track Analytics Pipeline/data/reference/collegiate_records/source_html/womens_indoor_collegiate_records.html,6580e9e9d1890eb569a0c837b4ee202f2b685db34a583e761c8ee796b681979f,85197,"May 09, 2026",2026-07-19T17:16:15+00:00,4,129
